Majority protein IDs	Protein names	Gene names	iBAQ LYOP2 / iBAQ TNEG2	iBAQ LYOP3 / iBAQ TNEG3	Razor + unique peptides
P02768	Serum albumin	ALB	784,3	1834,9	44
P01834	Ig kappa chain C region	IGKC	LYOP2 only	LYOP3 only	8
P01040	"Cystatin-A;Cystatin-A, N-terminally processed"	CSTA	948,4	LYOP3 only	8
P01876	Ig alpha-1 chain C region	IGHA1	LYOP2 only	LYOP3 only	16
P63261	"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed"	ACTG1	242,6	2564,2	19
P61626	Lysozyme C	LYZ	514,8	LYOP3 only	7
P31151	Protein S100-A7	S100A7	1572,7	LYOP3 only	9
P25311	Zinc-alpha-2-glycoprotein	AZGP1	377,7	1156,3	15
P0CG05	Ig lambda-2 chain C regions	IGLC2	LYOP2 only	LYOP3 only	4
Q01469	Fatty acid-binding protein, epidermal	FABP5	LYOP2 only	105,0	15
P29508	Serpin B3	SERPINB3	613,7	LYOP3 only	20
P31025	Lipocalin-1	LCN1	386,1	LYOP3 only	4
P62987	"Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40;Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin"	"UBA52;RPS27A;UBB;UBC"	569,9	LYOP3 only	6
P07355	"Annexin A2;Putative annexin A2-like protein"	"ANXA2;ANXA2P2"	203,6	LYOP3 only	22
P31944	"Caspase-14;Caspase-14 subunit p17, mature form;Caspase-14 subunit p10, mature form;Caspase-14 subunit p20, intermediate form;Caspase-14 subunit p8, intermediate form"	CASP14	173,5	143,3	15
P01857	Ig gamma-1 chain C region	IGHG1	LYOP2 only	LYOP3 only	7
P31947	14-3-3 protein sigma	SFN	LYOP2 only	LYOP3 only	9
P48594	Serpin B4	SERPINB4	LYOP2 only	LYOP3 only	4
Q02413	Desmoglein-1	DSG1	141,4	LYOP3 only	24
P01877	Ig alpha-2 chain C region	IGHA2	LYOP2 only	LYOP3 only	3
P10599	Thioredoxin	TXN	130,9	LYOP3 only	6
P04406	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	103,2	247,2	8
P06870	Kallikrein-1	KLK1	LYOP2 only	LYOP3 only	2
P01833	"Polymeric immunoglobulin receptor;Secretory component"	PIGR	LYOP2 only	LYOP3 only	15
P14923	Junction plakoglobin	JUP	109,2	222,0	22
P05089	Arginase-1	ARG1	205,7	LYOP3 only	8
Q06830	Peroxiredoxin-1	PRDX1	102,9	LYOP3 only	9
P04792	Heat shock protein beta-1	HSPB1	LYOP2 only	LYOP3 only	5
P06733	Alpha-enolase	ENO1	LYOP2 only	LYOP3 only	15
P47929	Galectin-7	LGALS7	LYOP2 only	LYOP3 only	5
P63104	14-3-3 protein zeta/delta	YWHAZ	LYOP2 only	LYOP3 only	5
P00441	Superoxide dismutase [Cu-Zn]	SOD1	LYOP2 only	LYOP3 only	5
Q96P63	Serpin B12	SERPINB12	213,1	LYOP3 only	9
Q9HCY8	Protein S100-A14	S100A14	LYOP2 only	LYOP3 only	3
P00338	L-lactate dehydrogenase A chain	LDHA	LYOP2 only	LYOP3 only	6
P15924	Desmoplakin	DSP	186,8	LYOP3 only	69
P60174	Triosephosphate isomerase	TPI1	LYOP2 only	LYOP3 only	9
P62937	"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed"	PPIA	LYOP2 only	LYOP3 only	5
